adm4_pcode,date,adm1_en,adm2_en,adm3_pcode,adm3_en,adm4_en,brgy_total_area,pr_monthly_total_mm,tave_monthly_mean_c,tmin_monthly_mean_c,tmax_monthly_mean_c,heat_index_monthly_mean_c,heat_index_monthly_max_c,rh_monthly_mean_pct,wind_speed_monthly_mean,solar_rad_monthly_mean,dengue_cases,dengue_deaths,google_bldgs_count,google_bldgs_density,google_bldgs_pct_built_up_area,google_bldgs_area_mean,pop_count_total,pop_density_mean,pr_total_mm_lag_1m,heat_index_mean_lag_1m,tave_mean_lag_1m,pr_total_mm_lag_2m,heat_index_mean_lag_2m,tave_mean_lag_2m,pr_total_mm_lag_3m,heat_index_mean_lag_3m,tave_mean_lag_3m,pr_rolling_3m_avg,brgy_p75_threshold,is_outbreak
PH104305001,2003-04-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,29.67,25.78933333333333,22.24566666666667,29.375666666666667,27.834666666666667,28.91,82.37766666666667,0.3206666666666667,277.2433333333333,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,65.71000000000001,26.596129032258066,25.057096774193546,86.28,25.90964285714286,24.723214285714285,77.19,25.99225806451613,24.683548387096774,60.55333333333334,5.0,0
PH104305001,2003-05-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,161.2,25.86774193548387,22.99451612903226,28.879032258064516,27.84741935483871,29.44,82.87677419354839,0.39354838709677414,215.3583870967742,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,29.67,27.834666666666667,25.78933333333333,65.71000000000001,26.596129032258066,25.057096774193546,86.28,25.90964285714286,24.723214285714285,85.52666666666669,5.0,0
PH104305001,2003-06-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,344.53,25.407333333333334,22.447,28.608999999999998,27.065333333333335,29.01,82.17766666666667,0.3143333333333333,217.80033333333333,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,161.2,27.84741935483871,25.86774193548387,29.67,27.834666666666667,25.78933333333333,65.71000000000001,26.596129032258066,25.057096774193546,178.46666666666667,5.0,0
PH104305001,2003-07-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,460.89,24.995806451612903,22.40032258064516,27.949032258064516,26.556451612903224,28.09,85.18129032258064,0.4641935483870968,195.51193548387096,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,344.53,27.065333333333335,25.407333333333334,161.2,27.84741935483871,25.86774193548387,29.67,27.834666666666667,25.78933333333333,322.20666666666665,5.0,0
PH104305001,2003-08-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,319.84000000000003,25.44193548387097,22.458064516129035,28.68290322580645,27.106129032258064,28.75,81.80129032258066,0.3645161290322581,226.44161290322583,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,460.89,26.556451612903224,24.995806451612903,344.53,27.065333333333335,25.407333333333334,161.2,27.84741935483871,25.86774193548387,375.08666666666664,5.0,0
PH104305001,2003-09-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,273.01,25.138666666666666,22.46833333333333,28.17366666666667,26.495333333333335,27.61,81.02766666666666,0.479,210.69799999999998,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,319.84000000000003,27.106129032258064,25.44193548387097,460.89,26.556451612903224,24.995806451612903,344.53,27.065333333333335,25.407333333333334,351.24666666666667,5.0,0
PH104305001,2003-10-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,326.07,24.95225806451613,22.421935483870968,27.86193548387097,26.55322580645161,28.19,86.97806451612904,0.3735483870967742,191.58741935483872,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,273.01,26.495333333333335,25.138666666666666,319.84000000000003,27.106129032258064,25.44193548387097,460.89,26.556451612903224,24.995806451612903,306.3066666666667,5.0,0
PH104305001,2003-11-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,90.82,25.146666666666665,22.049666666666667,28.607666666666667,26.963,28.8,85.32266666666666,0.2693333333333333,218.80633333333336,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,326.07,26.55322580645161,24.95225806451613,273.01,26.495333333333335,25.138666666666666,319.84000000000003,27.106129032258064,25.44193548387097,229.9666666666666,5.0,0
PH104305001,2003-12-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,259.69,24.460322580645162,22.100322580645162,27.05806451612903,25.621290322580645,27.14,85.60741935483871,0.9264516129032258,155.5132258064516,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,90.82,26.963,25.146666666666665,326.07,26.55322580645161,24.95225806451613,273.01,26.495333333333335,25.138666666666666,225.52666666666664,5.0,0
PH104305001,2004-01-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,56.08,25.05258064516129,22.024838709677418,28.440645161290323,26.516129032258064,27.21,83.79677419354839,0.557741935483871,207.751935483871,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,259.69,25.621290322580645,24.460322580645162,90.82,26.963,25.146666666666665,326.07,26.55322580645161,24.95225806451613,135.53,5.0,0
PH104305001,2004-02-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,141.35999999999999,24.638620689655173,21.88448275862069,27.79310344827586,26.053448275862067,27.54,85.93275862068967,0.6634482758620689,198.41000000000003,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,56.08,26.516129032258064,25.05258064516129,259.69,25.621290322580645,24.460322580645162,90.82,26.963,25.146666666666665,152.37666666666667,5.0,0
PH104305001,2004-03-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,105.14,25.291612903225804,22.291612903225804,28.57225806451613,27.081612903225807,29.04,84.24580645161289,0.46806451612903227,233.53806451612905,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,141.35999999999999,26.053448275862067,24.638620689655173,56.08,26.516129032258064,25.05258064516129,259.69,25.621290322580645,24.460322580645162,100.86,5.0,0
PH104305001,2004-04-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,27.17,25.89466666666667,22.26966666666667,29.57,27.954666666666665,29.41,80.66799999999999,0.309,270.589,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,105.14,27.081612903225807,25.291612903225804,141.35999999999999,26.053448275862067,24.638620689655173,56.08,26.516129032258064,25.05258064516129,91.22333333333334,5.0,0
PH104305001,2004-05-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,173.35,25.86225806451613,22.90096774193548,29.200645161290325,27.98677419354839,30.36,83.8816129032258,0.3574193548387097,219.53064516129032,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,27.17,27.954666666666665,25.89466666666667,105.14,27.081612903225807,25.291612903225804,141.35999999999999,26.053448275862067,24.638620689655173,101.88666666666666,5.0,0
PH104305001,2004-06-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,317.63,25.237333333333332,22.69066666666667,28.207666666666668,26.671666666666667,28.77,81.26366666666667,0.9113333333333333,218.53633333333335,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,173.35,27.98677419354839,25.86225806451613,27.17,27.954666666666665,25.89466666666667,105.14,27.081612903225807,25.291612903225804,172.71666666666667,5.0,0
PH104305001,2004-07-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,282.7,25.033548387096772,22.095483870967744,27.993225806451612,26.571290322580648,28.24,84.82225806451612,0.32903225806451614,216.5483870967742,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,317.63,26.671666666666667,25.237333333333332,173.35,27.98677419354839,25.86225806451613,27.17,27.954666666666665,25.89466666666667,257.8933333333333,5.0,0
PH104305001,2004-08-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,178.33,25.466129032258067,22.688709677419357,28.51322580645161,26.86225806451613,28.09,78.25193548387097,0.8261290322580644,234.98225806451612,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,282.7,26.571290322580648,25.033548387096772,317.63,26.671666666666667,25.237333333333332,173.35,27.98677419354839,25.86225806451613,259.55333333333334,5.0,0
PH104305001,2004-09-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,214.78,25.092,22.04733333333333,28.323666666666668,26.705666666666666,27.88,84.39,0.2773333333333333,232.48333333333332,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,178.33,26.86225806451613,25.466129032258067,282.7,26.571290322580648,25.033548387096772,317.63,26.671666666666667,25.237333333333332,225.26999999999998,5.0,0
PH104305001,2004-10-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,170.56,24.871290322580645,22.173548387096773,27.889032258064518,26.29612903225806,27.34,84.4341935483871,0.5883870967741935,217.48,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,214.78,26.705666666666666,25.092,178.33,26.86225806451613,25.466129032258067,282.7,26.571290322580648,25.033548387096772,187.89,5.0,0
PH104305001,2004-11-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,55.36,25.123,21.775,28.69066666666667,26.8,27.92,83.747,0.2793333333333334,229.389,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,170.56,26.29612903225806,24.871290322580645,214.78,26.705666666666666,25.092,178.33,26.86225806451613,25.466129032258067,146.89999999999998,5.0,0
PH104305001,2004-12-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,122.44,25.057096774193546,22.338064516129034,28.24225806451613,26.668064516129032,27.62,86.12709677419355,0.48935483870967744,193.01741935483872,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,55.36,26.8,25.123,170.56,26.29612903225806,24.871290322580645,214.78,26.705666666666666,25.092,116.11999999999999,5.0,0
PH104305001,2005-01-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,71.71000000000001,24.281290322580645,21.628064516129033,27.36225806451613,25.44709677419355,27.28,84.90129032258065,0.7038709677419355,191.00225806451613,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,122.44,26.668064516129032,25.057096774193546,55.36,26.8,25.123,170.56,26.29612903225806,24.871290322580645,83.16999999999997,5.0,0
PH104305001,2005-02-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,29.55,24.98071428571429,21.632857142857144,28.59142857142857,26.32392857142857,28.05,80.11892857142857,0.5885714285714286,243.54500000000002,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,71.71000000000001,25.44709677419355,24.281290322580645,122.44,26.668064516129032,25.057096774193546,55.36,26.8,25.123,74.56666666666665,5.0,0
PH104305001,2005-03-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,104.41,25.213548387096775,21.82935483870968,28.866774193548387,26.763870967741934,28.76,81.46032258064515,0.5306451612903226,244.93806451612903,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,29.55,26.32392857142857,24.98071428571429,71.71000000000001,25.44709677419355,24.281290322580645,122.44,26.668064516129032,25.057096774193546,68.55666666666666,5.0,0
PH104305001,2005-04-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,8.41,25.371333333333332,21.829,29.01066666666667,27.125999999999998,28.96,82.51866666666666,0.27299999999999996,275.1363333333333,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,104.41,26.763870967741934,25.213548387096775,29.55,26.32392857142857,24.98071428571429,71.71000000000001,25.44709677419355,24.281290322580645,47.45666666666665,5.0,0
PH104305001,2005-05-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,171.36,25.865483870967743,23.095483870967744,28.989032258064515,28.023548387096774,28.98,84.78516129032259,0.3032258064516129,218.06451612903226,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,8.41,27.125999999999998,25.371333333333332,104.41,26.763870967741934,25.213548387096775,29.55,26.32392857142857,24.98071428571429,94.72666666666665,5.0,0
PH104305001,2005-06-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,243.6,25.656,22.842333333333332,28.740333333333336,27.645333333333333,29.26,84.727,0.3466666666666667,214.05233333333334,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,171.36,28.023548387096774,25.865483870967743,8.41,27.125999999999998,25.371333333333332,104.41,26.763870967741934,25.213548387096775,141.1233333333333,5.0,0
PH104305001,2005-07-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,293.85,25.350645161290323,22.77225806451613,28.339032258064517,27.074838709677422,29.07,84.43903225806451,0.44419354838709674,206.52548387096775,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,243.6,27.645333333333333,25.656,171.36,28.023548387096774,25.865483870967743,8.41,27.125999999999998,25.371333333333332,236.26999999999998,5.0,0
PH104305001,2005-08-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,263.37,25.30258064516129,22.673548387096773,28.379032258064516,26.871612903225806,28.26,82.24870967741936,0.5306451612903226,218.97225806451613,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,293.85,27.074838709677422,25.350645161290323,243.6,27.645333333333333,25.656,171.36,28.023548387096774,25.865483870967743,266.94,5.0,0
